,name,gender,hometown,age,education,income,experience,period,drawdown,debt,risk,attitude
120,Broderick Ingersoll,1,hk,3,4,4,5,4,4,2,4,4
121,Wen Chin,1,Hong Kong,1,2,1,1,2,3,2,3,5
122,Joshua Marjory,1,Hong Kong,2,3,3,4,2,2,2,1,1
123,Selena Nico(l),2,Hong Kong,4,5,5,4,3,4,2,4,1
124,Yin Wuying,2,Hong Kong,5,4,3,4,4,4,3,5,2
125,Luther Landon,1,Hong Kong,5,4,4,3,2,3,5,3,1
126,Constance Wood,2,Shenzhen,3,2,3,2,2,3,3,2,2
127,Phoebe Mill,2,hk,1,3,1,1,1,1,1,1,1
128,Valerie Zangwill,2,Shenzhen,3,5,2,2,3,3,3,3,3
129,Joan Hodge,2,Wulongmuqi,3,3,3,4,2,3,3,3,1
130,Geng Yating,1,Hubei,2,3,1,2,1,1,4,2,1
131,Dana Defoe,1,Hong Kong,4,4,4,4,4,4,4,4,4
132,Tian Hu,1,Hong Kong,5,3,5,5,4,3,3,4,4
133,Gregary Peter,1,Hong Kong,1,3,1,1,1,1,1,1,1
134,Hora Yuna,2,Hong Kong,3,2,3,2,2,3,3,2,2
135,Sandy Nixon,2,Hong Kong,3,4,5,5,3,4,2,4,4
136,Bishop Silas,1,hk,3,4,2,3,2,2,5,3,1
137,Cedric Raman,1,Hong Kong,3,3,2,5,2,2,2,1,1
138,Brook Beard,1,Hebei,4,2,4,5,2,2,2,2,2
139,Philip Samson,1,Hong Kong,2,3,2,2,2,2,4,2,2
140,Dean Nelly,1,Hong Kong,3,4,4,5,4,4,2,4,4
141,Zou Huang,2,Beijing,1,2,1,5,3,3,5,4,5
142,Ren Xun,1,Anhui,2,4,4,5,4,4,3,4,4
143,Natividad Anna,2,HK,4,2,4,5,2,2,2,2,2
144,Lilith Richard,2,Hong Kong,5,4,3,1,1,1,5,1,1
145,Wright Richards,1,hk,3,3,3,1,2,1,5,3,5
146,Meredith Jackson,1,Henan,2,5,5,4,3,3,2,3,4
147,Arvin Judith,1,HK,3,4,5,1,2,2,5,2,1
148,Coral Oscar,2,shenzhen,5,5,5,5,5,5,5,5,5
149,Otis Walton,1,Hong Kong,3,3,4,5,5,5,2,5,5
150,Celeste Tom,2,Hong Kong,3,4,2,3,2,2,5,3,1
151,Kelly Lena,1,hk,3,4,4,5,3,3,3,2,2
152,Jodie Marjory,2,Hong Kong,5,5,4,4,3,5,4,3,4
153,Thera Field,2,HK,4,2,4,5,2,2,2,2,2
154,Stacey Henley,2,Hong Kong,4,4,4,4,4,4,4,4,4
155,Ruth Shakespeare,2,Hong Kong,3,5,5,5,4,4,3,4,5
156,Porter Byron,1,Hong Kong,2,4,1,1,1,3,1,3,3
157,Avery Pullman,1,HK,2,3,2,2,2,2,4,2,2
158,Alva Moore,2,Hong Kong,5,5,5,5,5,5,4,5,5
159,Liao Zhou,2,Hong Kong,4,4,4,2,3,2,5,4,5
160,Zhu Lan,2,Hong Kong,2,1,2,1,1,2,2,1,1
161,Tang Yu,2,Hong Kong,3,2,4,5,3,3,3,2,3
162,Nicole Grantham,2,Hong Kong,2,4,3,3,2,3,5,3,2
163,Walker Susanna,1,Hong Kong,5,4,4,5,3,4,2,4,3
164,Amos Kitto,1,Hong Kong,3,2,3,2,2,3,3,2,2
165,Wei Tai,1,Fujian,3,4,4,5,3,3,3,2,2
166,Bridget Jerry,2,Shanghai,3,3,3,4,3,4,1,4,5
167,Ma Hua,1,Hong Kong,1,2,1,3,2,3,3,3,2
168,Qiao Shufen,2,Hong Kong,2,5,5,4,3,3,2,3,4
169,Virginia Anne,2,Hong Kong,2,3,2,2,2,2,4,2,2
170,Jamie Surrey,2,Hong Kong,2,1,1,4,3,4,3,4,2
171,Veromca Sailsbury,2,Hong Kong,3,4,4,5,4,4,2,4,4
172,Lilith Arthur,2,Hong Kong,5,3,5,5,3,3,3,3,3
173,Meredith Jackson,1,Hong Kong,3,5,2,2,3,3,3,3,3
174,Gene Flynn,1,Fujian,4,4,5,1,2,2,5,2,1
175,Cheng Tu,1,Hong Kong,3,2,3,2,2,3,3,2,2
176,Ted Wyclif(fe),1,Hong Kong,2,4,1,1,1,3,1,3,3
177,Max Service,1,Hong Kong,3,2,4,5,3,3,3,2,3
178,King Hornby,1,Hong Kong,3,4,4,5,3,3,3,2,2
179,Rupert Hume,1,Hong Kong,4,2,4,4,3,2,2,3,3
180,Zhuan Chin,2,Shenzhen,1,1,1,5,4,5,2,5,3
181,Kong Chen,1,Hong Kong,2,1,1,3,2,3,3,3,2
182,Beryl Beard,2,hk,3,2,3,2,2,3,3,2,2
183,Yu Xia,2,Hong Kong,1,3,1,1,1,1,1,1,1
184,Richard Lew,1,Shenzhen,3,2,4,5,3,3,3,2,3
185,Peng Lim,1,Hong Kong,3,4,5,5,3,4,2,4,3
186,Jessica Dickens,2,Hong Kong,1,2,1,1,2,2,3,2,2
187,Gavin Brook,1,Hong Kong,3,4,4,5,3,3,3,2,2
188,Xuan Hong,1,Hong Kong,2,3,2,4,3,4,2,4,4
189,Wanda Harvey,2,Hong Kong,3,4,4,5,3,3,3,2,2
190,Chester Sassoon,1,Hong Kong,3,4,2,2,1,3,2,1,2
191,Edison Needham,1,Thailand,1,3,1,1,1,1,1,1,1
192,Anastasia Dickens,2,Hong Kong,5,3,5,5,4,3,3,4,4
193,Grover Alfred,1,Hong Kong,2,2,1,1,2,1,4,1,3
194,Sheila Broad,2,Philippines,4,4,4,5,3,4,4,2,4
195,Sabrina Crichton,2,Hong Kong,2,3,3,4,2,2,2,1,1
196,Myra George,2,Hong Kong,5,4,3,4,4,4,3,4,3
197,Shen Hai,1,Hong Kong,3,4,4,5,3,3,3,2,2
198,Alva Moore,2,Hong Kong,4,4,4,5,3,4,4,2,4
199,Du Ping,2,HK,3,4,3,3,3,3,5,3,3
200,Willie Hudson,1,Hong Kong,5,4,5,5,5,4,4,5,5
201,Qiao Chao,1,Hong Kong,3,5,5,5,4,4,3,4,5
202,Zebulon Tuttle,1,Hong Kong,4,3,4,3,3,4,4,3,3
203,Armand Cook,1,Hong Kong,3,3,2,5,2,2,2,1,1
204,Laura Walsh,2,Hong Kong,3,4,2,3,2,2,5,3,1
205,Cedric Raman,1,Hong Kong,1,3,1,1,1,1,1,1,1
206,Blanche Gibson,2,Hong Kong,3,5,5,4,3,4,2,4,2
207,Mo Jin,2,Hong Kong,1,3,1,1,1,2,1,2,2
208,Muriel Bessie,2,Hubei,5,3,5,5,3,3,3,3,3
209,Ren Yong,2,Hong Kong,3,1,3,4,1,1,1,1,1
210,Ansel Coleridge,1,Hong Kong,3,3,3,5,2,3,3,1,3
211,Novia Carroll,2,Hong Kong,3,4,4,5,3,3,3,2,2
212,Aaron Lew,1,hk,2,5,5,4,3,3,2,3,4
213,Wright Richards,1,Hong Kong,2,1,2,1,1,2,2,1,1
214,Dana Effie,2,Hong Kong,4,3,3,4,3,4,2,4,2
215,Xuan ZhenKang,2,hk,2,2,1,4,1,1,1,1,1
216,Cornell Augustine,1,Chinese mainland,2,2,2,4,1,2,2,1,2
217,Rose Bess,2,Japan,3,1,3,4,1,1,1,1,1
218,Crystal Gold,2,Hong Kong,1,2,2,3,2,2,1,2,2
219,Chang Fu,1,HK,2,4,2,1,1,2,1,1,1
220,Tess Toby,2,Hong Kong,5,3,5,5,3,3,3,3,3
221,Kerr Kelsen,1,Shenzhen,5,3,5,5,4,3,3,4,4
222,Mag Keynes,2,Hong Kong,2,3,1,1,1,1,4,1,1
223,Blair Franklin,1,Hong Kong,2,3,2,5,3,4,2,4,3
224,Truda Eleanor,2,Hong Kong,2,1,1,1,1,1,4,1,2
225,Geoffrey Jennings,1,Myanmar,3,3,3,1,2,1,5,3,5
226,Howar Smollett,1,Hong Kong,3,4,4,5,4,4,2,4,4
227,Qiao Bi,2,Hong Kong,3,2,3,2,2,3,3,2,2
228,Coral Belloc,2,HK,1,3,1,1,1,1,1,1,1
229,Bart Emmie,1,Hong Kong,4,4,4,5,3,4,4,2,4
230,Claire Moses,2,Hong Kong,2,3,2,2,2,2,4,2,2
231,Rose Defoe,2,Hong Kong,2,1,2,1,1,2,2,1,1
232,Astrid DeQuincey,2,Hong Kong,2,4,2,1,1,2,1,1,1
233,Gerald Vincent,1,Hong Kong,3,2,3,1,2,3,3,3,1
234,Jiang Guiying,1,hk,4,2,4,4,3,2,2,3,3
235,Gladys Taylor,2,Hong Kong,3,5,2,2,2,4,2,4,4
236,Benedict Marlowe,1,Hong Kong,5,3,5,5,3,3,3,3,3
237,Tang Jun,1,Hainan,3,4,4,5,4,4,2,4,4
238,Belinda Saroyan,2,hk,3,2,3,2,2,3,3,2,2
239,Gemma Stevenson,2,hk,3,3,2,5,2,2,2,1,1
240,Sebastian Augustus,1,Hong Kong,5,4,4,1,2,3,3,3,4
241,Lisa Gold,2,Hong Kong,4,2,4,4,3,2,2,3,3
242,Hugh Leigh,1,Hong Kong,2,1,3,4,2,2,2,1,2
243,Violet Joe,2,Yunnan,3,2,4,5,3,3,3,2,3
244,Xun Jian,2,HK,3,3,3,3,2,3,3,3,2
245,Dominic Strachey,1,hk,2,4,1,1,2,2,2,2,2
246,Myron Elinor,1,Taiwan,5,4,4,5,4,4,2,5,2
247,Lei Zexi,2,Hong Kong,3,2,2,1,2,2,5,2,2
248,Sylvia Alick,2,HK,3,3,2,5,2,2,2,1,1
249,Sharon Bruno,2,Hong Kong,4,4,4,2,2,2,3,2,1
250,Rosemary Malan,2,Hong Kong,3,3,3,3,2,3,3,3,4
251,Vera Washington,2,Hong Kong,5,5,5,5,5,5,5,5,5
252,Sabrina Tate,2,Hong Kong,3,3,3,3,2,2,5,2,4
253,Xiong Liuxian,2,Japan,4,4,4,4,4,4,4,4,4
254,Gu Guiying,2,Macao,2,4,2,1,1,2,1,1,1
255,Patricia Walter,2,hk,3,4,5,3,2,3,5,3,2
256,Orville Rose,1,Chongqing,1,1,2,3,1,1,1,1,1
257,Sharon Archibald,2,Hong Kong,2,5,4,5,4,3,3,4,3
258,Daphne Wilmot(t),2,Hong Kong,1,3,1,1,1,1,1,1,1
259,Kishi Ine,2,Hong Kong,4,3,3,1,2,3,3,3,1
260,Andre Lowell,1,Hong Kong,3,2,4,5,3,3,3,2,3
261,Hubery Alerander,1,Japan,4,2,4,5,2,2,2,2,2
262,Nancy Moulton,2,Hong Kong,3,2,3,2,2,3,3,2,2
263,Bruno Dierser,1,Hong Kong,5,2,1,5,4,5,5,5,5
264,Adolph Temple,1,hk,1,3,1,1,1,1,1,1,1
265,Julius Dodd,1,Hong Kong,5,4,4,2,2,3,3,3,1
266,Vicky Mackintosh,2,Hong Kong,3,5,3,2,2,3,2,2,2
267,Luther Reynolds,1,Hebei,2,1,3,4,2,2,2,1,2
268,Pandora Bertha,2,Hong Kong,4,4,3,5,3,3,3,2,2
269,Adolph Dutt,1,Taiwan,2,5,5,4,3,3,2,3,4
270,Eartha Smollett,2,Hainan,2,4,1,1,1,3,1,3,3
271,Erica Marjory,2,Hong Kong,2,4,1,1,1,3,1,3,3
272,Belle Raman,2,Hong Kong,5,4,3,5,3,4,2,4,3
273,Vito,1,Hong Kong,5,5,5,5,5,5,5,5,5
274,Polly Whyet,2,Shenzhen,4,3,5,5,4,4,4,3,4
275,Xuan Hong,1,Hong Kong,2,1,1,1,1,1,4,1,1
276,Walter Daniell,1,Hong Kong,1,3,1,1,1,2,1,2,2
277,Sam Stilwell,1,Hong Kong,2,4,4,4,3,4,2,4,3
278,Genevieve Moore,2,Hong Kong,3,4,2,2,1,3,2,1,2
279,Marsh Adam,1,Hong Kong,3,5,2,2,3,3,3,3,3
280,Chasel Aldridge,1,Hong Kong,3,5,2,2,2,4,2,4,4
281,Madge Marner,2,Shanghai,3,4,4,5,3,3,3,2,2
282,Betsy Louis,2,HK,2,4,2,1,1,2,1,1,1
283,Atwood Raglan,1,Hong Kong,3,2,3,4,2,3,3,3,3
284,Eden Bethune,2,Hong Kong,3,4,5,1,2,3,5,3,1
285,Nathaniel Emmie,1,Hong Kong,2,3,2,2,2,2,4,2,2
286,Lutz Schmetterling,1,Hong Kong,2,5,5,4,3,3,2,3,4
287,Saxon Clapham,1,Hong Kong,2,4,4,1,1,1,5,1,4
288,Qin Yan,2,Hong Kong,3,5,3,2,2,3,2,2,2
289,Xun An,2,Hubei,3,4,5,5,3,4,2,4,5
290,Zona Sawyer,2,Hong Kong,2,3,1,2,1,1,4,2,1
291,Eden Laurie,1,Hong Kong,3,5,2,2,2,4,2,4,4
292,Betty Browning,2,Malaysia,2,1,3,4,2,2,2,1,2
293,Miles Crofts,1,Hong Kong,3,3,4,1,1,1,4,1,1
294,Fan Jun,1,Shanxi,3,4,4,5,3,3,3,2,2
295,Heloise Lou(ie),2,HK,4,5,5,5,5,5,3,5,5
296,Jia Liang,1,Hong Kong,3,3,4,3,2,3,3,3,4
297,Han Gengxin,1,hk,3,4,5,3,2,3,5,3,4
298,Ophelia Lindsay,2,Hong Kong,3,4,4,5,4,4,2,4,4
299,Montague Will,1,Hong Kong,3,3,4,2,2,2,3,2,1
300,Joyce Middleton,1,Hong Kong,3,4,4,5,4,4,2,4,4
301,Humphrey Ellen,1,Zhejiang,2,3,3,4,2,2,2,1,1
302,Cao Huan,1,Philippines,2,3,3,4,3,3,1,3,3
303,Luo Jie,1,Hong Kong,3,3,4,5,3,4,5,4,4
304,Winifred Kingsley,2,Hong Kong,2,1,3,4,2,2,2,1,2
305,Jia Li,1,Hong Kong,2,2,1,4,2,3,5,3,2
306,Xun Jian,2,Hong Kong,5,4,3,5,3,5,2,5,4
307,Ternence Smedley,1,Heilongjiang,2,4,1,1,1,3,1,3,3
308,Marina Goldsmith,2,Beijing,3,3,3,5,2,3,3,1,3
309,Norma Aled(k),2,Thailand,5,5,5,5,5,5,5,5,5
310,Ursula Bridges,2,Hong Kong,5,3,5,5,4,3,3,4,4
311,Alexia Emmie,2,Hong Kong,5,3,5,5,4,3,3,4,4
312,Teresa Fast,2,HK,4,4,3,5,3,3,3,2,2
313,Bernie Ralph,1,Hong Kong,3,5,5,4,3,3,5,4,4
314,King Hornby,1,Hong Kong,4,5,5,5,5,5,3,5,5
315,Elmer Coverdale,1,Hong Kong,5,4,4,4,3,4,2,4,3
316,George Tom,1,Hong Kong,5,3,5,5,4,3,3,4,4
317,Burnell Dickey,1,Taiwan,4,2,4,5,2,2,2,2,2
318,Maria Hodgson,2,England,3,3,3,5,2,3,3,1,3
319,Bella David,2,hk,5,4,3,2,2,3,5,3,3
320,Li Li,2,Hong Kong,4,5,3,4,3,3,5,4,2
321,Arvin Judith,1,Hong Kong,3,3,3,1,2,1,5,3,5
322,Antony Kipling,1,Hong Kong,2,3,3,4,2,2,2,1,1
323,Ada Benedict,2,Hong Kong,5,3,5,5,3,3,3,3,3
324,Ryan Terry,1,Hong Kong,2,3,3,4,3,3,1,3,3
325,Zhao Guanyu,1,HK,5,3,3,3,2,3,3,4,1
326,Du Shufen,2,Hong Kong,4,5,3,4,3,3,5,4,2
327,Hou Fang,2,Hong Kong,2,5,4,5,5,5,2,5,4
328,Ulysses Susanna,1,Hong Kong,2,2,1,5,5,5,2,5,2
329,Liu Yi,1,Hong Kong,4,3,4,3,3,4,4,3,3
330,June Bach,2,Hong Kong,4,3,5,5,4,4,4,3,4
331,Cornell Galsworthy,1,Hong Kong,5,5,5,5,5,5,5,5,5
332,Marina Goldsmith,2,Hong Kong,4,4,3,5,3,3,3,2,2
333,Tao Cui,2,Hong Kong,1,1,1,3,1,1,1,1,1
334,Ann Anne,2,Hong Kong,3,2,3,2,2,3,3,2,2
335,Olga Winifred,2,Beijing,2,2,1,3,2,3,3,4,1
336,Kimberley Fast,2,Hong Kong,3,4,2,2,1,3,2,1,2
337,Baldwin Zechariah,1,Hong Kong,5,5,5,5,5,5,5,5,5
338,Benjamin Joseph,1,Canton,1,2,1,3,2,3,3,3,3
339,Alma Rutherford,2,Macao,5,2,1,2,2,3,3,3,1
340,Cheryl Clapham,2,hk,4,2,4,5,2,2,2,2,2
341,Peter Sonmerfield,1,Hong Kong,3,3,4,2,2,3,3,3,2
342,Susanna Commons,2,England,2,4,1,1,1,3,1,3,3
343,Yuan Shun,1,Hong Kong,2,3,1,1,1,2,1,1,1
344,Kelly Lena,1,Hong Kong,2,3,2,4,2,4,1,4,5
345,Madeline Back,2,HK,2,4,2,1,1,2,1,1,1
346,Victoria Broad,2,Hong Kong,4,4,4,2,3,2,5,4,5
347,Paula Brook,2,Hong Kong,4,3,3,5,4,5,2,5,4
348,Joy Lambert,2,Fujian,3,5,2,2,3,3,3,3,3
349,Olivia Jones,2,Hong Kong,4,4,4,5,3,4,4,2,4
350,Adair Saul,1,Hong Kong,3,4,5,1,1,2,4,2,1
351,Leona John,2,Hong Kong,3,5,5,5,4,4,3,4,5
352,Lewis Tout,1,Hong Kong,5,3,3,1,1,2,3,2,3
353,Zeng Yun,2,Indonesia,3,4,4,5,4,4,2,4,4
354,Malcolm Birrell,1,Hong Kong,3,3,4,5,5,5,1,5,5
355,Meng Zemin,1,Hong Kong,2,3,2,2,2,2,4,2,2
356,Alva Bessie,1,hk,3,5,2,2,3,3,3,3,3
357,Maria Hodgson,2,Beijing,3,2,3,2,2,3,3,2,2
358,Max Service,1,guangxi,2,4,2,1,1,2,1,1,1
359,Kim Bradley,1,Hong Kong,3,4,2,3,2,2,5,3,1
360,Sherry Eugene,2,hk,3,4,5,1,2,1,4,1,2
361,Madina Helpe,2,Hong Kong,3,4,4,5,4,4,2,4,4
362,Xing Xun,2,Thailand,2,4,3,2,2,2,3,2,1
363,Vivien Howell(s),2,Guangdong,5,3,5,5,4,3,3,4,4
364,Keith Simon,1,Hong Kong,2,4,1,1,2,2,2,2,2
365,Nick Aldridge,1,Hong Kong,1,4,4,3,2,2,1,2,3
366,Laura Walsh,2,Jiangsu,5,5,5,5,5,5,5,5,5
367,Lionel Bauer,1,Hong Kong,2,4,1,1,2,2,2,2,2
368,Werner Abe,1,Hong Kong,3,4,4,5,3,3,3,2,2
369,Athena Churchill,2,Shandong,2,3,2,2,2,2,4,2,2
370,Teng Heng,2,HK,2,2,1,4,3,4,5,4,4
371,Joy Lambert,2,Yunnan,5,5,5,5,5,5,5,5,5
372,Cherry Gladstone,2,Hong Kong,2,4,1,1,2,2,2,2,2
373,Levi Christie,1,Hong Kong,4,4,4,5,3,4,4,2,4
374,Sheila Galbraith,2,Hong Kong,4,5,5,5,4,4,4,3,3
375,Yan Ru,2,Hong Kong,1,2,1,2,2,2,3,2,1
376,Helen Bray,2,HK,2,4,1,1,1,3,1,3,3
377,Anna Rhys,2,Hong Kong,5,5,5,5,5,5,5,5,5
378,Hedda Wilmot(t),2,Hong Kong,3,2,3,2,2,3,3,2,2
379,Kama Mac-,2,Canada,5,5,5,5,5,5,5,5,5
380,Dana Katharine,2,hk,3,4,4,5,4,4,2,4,4
381,Eden Thompson,1,Hong Kong,2,2,1,4,1,1,1,1,1
382,Rosalind Bloor,2,hk,3,2,2,3,2,3,3,3,2
383,Emmanuel Hill,1,Shenzhen,2,4,2,1,1,2,1,1,1
